title,authors,
Editorial,1,
Synthesizing hierarchical state machines from expressive scenario descriptions,2,
Measuring the strength of information flows in programs,2,
Unifying aspect- and object-oriented design,2,
J-Orchestra: Enhancing Java programs with distribution capabilities,2,
Design and implementation of Sator: {A} web service aggregator,3,
Amoeba: {A} methodology for modeling and evolving cross-organizational business processes,3,
Conceptual data model-based software size estimation for information systems,3,
A verification system for interval-based specification languages,4,
Semantic self-assessment of query results in dynamic environments,4,
Analysis and applications of timed service protocols,4,
Partial constraint checking for context consistency in pervasive computing,4,
From business process models to process-oriented software systems,5,
13,39,3
